marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
single,General application,>3,Social sciences and education,daytime,Upper secondary education,134.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Plant and Machine Operators and Assemblers,122.1,yes,no,no,yes,female,yes,18,no,10.8,1.4,1.74,Dropout
single,Other,1,Social sciences and education,daytime,Tertiary education experience,140.0,Unknown,Unknown,Student,Student,140.0,yes,no,no,no,female,no,24,no,9.4,-0.8,-3.12,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Other,143.2,no,no,no,yes,female,no,19,no,7.6,2.6,0.32,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,146.0,Primary/Early education,Primary/Early education,Elementary Occupations,Plant and Machine Operators and Assemblers,120.5,no,no,no,yes,female,no,44,no,10.8,1.4,1.74,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,130.0,Primary/Early education,Primary/Early education,Elementary Occupations,Professionals,119.5,yes,no,no,yes,female,yes,18,no,15.5,2.8,-4.06,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,151.0,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,147.5,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Other,Other,129.6,no,no,no,yes,female,no,22,no,7.6,2.6,0.32,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,132.0,Primary/Early education,Primary/Early education,Elementary Occupations,Service and Sales Workers,126.1,no,no,no,yes,female,yes,18,no,11.1,0.6,2.02,Graduate
in union,Over 23,1,Business and management,evening,Upper secondary education,110.0,Primary/Early education,Primary/Early education,Elementary Occupations,Clerical Support Workers,160.0,no,no,no,yes,female,no,44,no,15.5,2.8,-4.06,Graduate
in union,Over 23,1,Social sciences and education,daytime,Upper secondary education,133.1,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,Technicians and Associate Professionals,105.5,no,no,yes,yes,female,no,33,no,7.6,2.6,0.32,Dropout
in union,Over 23,1,Social sciences and education,daytime,Upper secondary education,110.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,95.5,no,no,yes,no,female,no,32,no,10.8,1.4,1.74,Dropout
in union,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,107.5,no,no,no,no,female,no,35,no,15.5,2.8,-4.06,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,105.0,Upper secondary/Post secondary,Upper secondary/Post secondary,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",106.1,yes,no,no,yes,female,no,20,no,11.1,0.6,2.02,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,160.0,Bachelor or equivalent,Upper secondary/Post secondary,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",116.3,yes,no,no,yes,female,no,24,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,144.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Other,137.4,no,no,no,yes,female,no,19,no,16.2,0.3,-0.92,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,100.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,101.8,yes,no,no,yes,female,no,21,no,12.4,0.5,1.79,Enrolled
single,General application,2,Communication and design,daytime,Upper secondary education,143.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Elementary Occupations,144.1,yes,no,no,yes,male,yes,19,no,12.7,3.7,-1.7,Graduate
single,Other,1,Engineering and applied sciences,daytime,Upper secondary education,160.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,107.8,yes,no,no,no,male,no,27,no,15.5,2.8,-4.06,Dropout
single,Over 23,1,Social sciences and education,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Clerical Support Workers,128.2,no,no,no,no,female,no,30,no,12.7,3.7,-1.7,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,133.1,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,117.0,yes,no,no,yes,male,no,21,no,10.8,1.4,1.74,Dropout
single,General application,1,Communication and design,daytime,Upper secondary education,116.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Plant and Machine Operators and Assemblers,110.4,yes,no,no,yes,male,no,19,no,8.9,1.4,3.51,Graduate
in union,Over 23,1,Business and management,evening,Upper secondary education,120.0,Primary/Early education,Primary/Early education,Elementary Occupations,Other,170.0,no,no,no,yes,female,no,34,no,9.4,-0.8,-3.12,Enrolled
single,Other,1,Health sciences,daytime,Upper secondary education,141.0,Master/Doctoral,Upper secondary/Post secondary,Clerical Support Workers,Other,100.0,no,no,no,yes,male,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,110.0,Bachelor or equivalent,Bachelor or equivalent,Technicians and Associate Professionals,Technicians and Associate Professionals,117.0,yes,no,no,yes,male,no,21,no,9.4,-0.8,-3.12,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,127.0,Bachelor or equivalent,Upper secondary/Post secondary,Managers,Technicians and Associate Professionals,133.5,yes,no,no,yes,male,no,17,no,15.5,2.8,-4.06,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,132.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Elementary Occupations,128.0,yes,no,no,yes,female,yes,19,no,7.6,2.6,0.32,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,135.0,Primary/Early education,Lower secondary education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",122.1,yes,no,no,yes,male,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Other,133.4,yes,no,no,yes,female,no,19,no,11.1,0.6,2.02,Graduate
previously in union,Over 23,1,Business and management,daytime,Upper secondary education,140.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,112.0,no,no,yes,yes,female,no,45,no,12.7,3.7,-1.7,Dropout
single,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",130.0,yes,no,no,yes,female,no,26,no,15.5,2.8,-4.06,Graduate
in union,Over 23,2,Business and management,evening,Upper secondary education,100.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,100.0,yes,no,no,yes,male,no,51,no,12.7,3.7,-1.7,Dropout
in union,Over 23,1,Communication and design,daytime,Upper secondary education,133.1,Primary/Early education,Primary/Early education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",162.0,no,no,yes,yes,male,yes,49,no,10.8,1.4,1.74,Graduate
single,Other,1,Health sciences,daytime,Upper secondary education,100.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Plant and Machine Operators and Assemblers,153.0,no,no,no,yes,male,no,22,no,15.5,2.8,-4.06,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,137.0,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Elementary Occupations,131.4,yes,no,no,yes,male,no,22,no,7.6,2.6,0.32,Dropout
in union,Other,1,Engineering and applied sciences,daytime,Tertiary education experience,120.0,Bachelor or equivalent,Bachelor or equivalent,Managers,Managers,128.2,no,no,no,yes,female,no,33,no,9.4,-0.8,-3.12,Dropout
single,Other,1,Business and management,daytime,Upper secondary education,148.9,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,148.9,no,no,no,yes,female,no,20,yes,9.4,-0.8,-3.12,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,134.0,Lower secondary education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,128.4,yes,no,no,yes,female,yes,18,no,10.8,1.4,1.74,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,128.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,120.3,yes,no,yes,no,female,no,20,no,10.8,1.4,1.74,Dropout
in union,Other,1,Business and management,evening,Upper secondary education,133.1,Lower secondary education,Primary/Early education,Clerical Support Workers,"Skilled Agricultural, Forestry and Fishery Workers",100.0,no,no,no,yes,female,no,37,yes,8.9,1.4,3.51,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,131.0,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,126.1,yes,no,no,yes,male,no,18,yes,7.6,2.6,0.32,Graduate
single,General application,3,Business and management,daytime,Upper secondary education,118.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,111.7,yes,no,no,yes,female,no,19,no,12.4,0.5,1.79,Graduate
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,140.0,yes,no,no,yes,female,no,21,no,12.4,0.5,1.79,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Managers,122.2,no,no,no,yes,female,no,20,no,13.9,-0.3,0.79,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,126.0,Primary/Early education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,118.7,yes,no,no,yes,female,no,19,no,13.9,-0.3,0.79,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,125.0,Lower secondary education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,121.5,yes,no,no,yes,female,no,20,no,11.1,0.6,2.02,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Service and Sales Workers,134.5,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,127.0,yes,no,no,yes,female,no,19,no,12.7,3.7,-1.7,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,124.0,Primary/Early education,Lower secondary education,Elementary Occupations,Technicians and Associate Professionals,114.2,no,no,no,yes,female,no,18,no,15.5,2.8,-4.06,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,133.0,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Craft and Related Trades Workers,125.3,yes,no,no,yes,female,yes,18,no,15.5,2.8,-4.06,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,120.4,yes,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Upper secondary/Post secondary,Lower secondary education,Technicians and Associate Professionals,Elementary Occupations,123.0,yes,no,no,yes,female,no,19,no,12.4,0.5,1.79,Enrolled
single,General application,2,Health sciences,daytime,Upper secondary education,142.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,130.5,yes,no,no,yes,female,yes,18,no,16.2,0.3,-0.92,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,130.0,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,125.5,yes,no,no,yes,female,yes,19,yes,11.1,0.6,2.02,Graduate
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,133.8,no,no,yes,yes,female,yes,24,no,8.9,1.4,3.51,Graduate
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,150.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,150.0,no,no,no,yes,female,no,20,no,12.4,0.5,1.79,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,130.5,yes,no,no,yes,female,yes,21,no,9.4,-0.8,-3.12,Graduate
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,140.0,Lower secondary education,Primary/Early education,Clerical Support Workers,Other,140.0,no,no,yes,no,female,no,20,no,16.2,0.3,-0.92,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,126.0,Upper secondary/Post secondary,Primary/Early education,Technicians and Associate Professionals,Elementary Occupations,119.4,yes,no,no,yes,female,yes,19,no,16.2,0.3,-0.92,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,139.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,121.3,yes,no,no,yes,female,yes,19,no,10.8,1.4,1.74,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,141.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,126.3,yes,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,120.0,Lower secondary education,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,111.6,yes,no,no,yes,female,no,19,no,16.2,0.3,-0.92,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,120.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,111.3,yes,no,no,yes,female,no,21,no,8.9,1.4,3.51,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,134.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Plant and Machine Operators and Assemblers,122.5,yes,no,no,yes,female,yes,19,no,15.5,2.8,-4.06,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,128.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Other,116.5,yes,no,no,yes,female,yes,18,no,8.9,1.4,3.51,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,133.0,Master/Doctoral,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,132.0,yes,yes,no,yes,female,yes,17,no,15.5,2.8,-4.06,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,123.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Other,123.7,yes,no,no,yes,female,no,19,no,15.5,2.8,-4.06,Enrolled
single,General application,>3,Business and management,daytime,Upper secondary education,118.0,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,117.0,yes,no,no,no,male,no,23,no,9.4,-0.8,-3.12,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,113.0,Upper secondary/Post secondary,Primary/Early education,Managers,Other,116.5,yes,no,no,yes,female,no,19,no,8.9,1.4,3.51,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Bachelor or equivalent,Elementary Occupations,Clerical Support Workers,121.5,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,133.1,Lower secondary education,Lower secondary education,Service and Sales Workers,Elementary Occupations,105.0,yes,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,121.3,yes,no,no,yes,female,yes,19,no,10.8,1.4,1.74,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Lower secondary education,Technicians and Associate Professionals,Elementary Occupations,136.1,yes,no,no,yes,female,yes,18,no,12.4,0.5,1.79,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,133.0,Primary/Early education,Primary/Early education,Elementary Occupations,Clerical Support Workers,123.6,no,no,no,yes,female,yes,19,no,13.9,-0.3,0.79,Graduate
single,General application,>3,Social sciences and education,daytime,Upper secondary education,123.0,Lower secondary education,Upper secondary/Post secondary,Clerical Support Workers,Other,129.0,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Plant and Machine Operators and Assemblers,136.8,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,146.0,Bachelor or equivalent,Bachelor or equivalent,Technicians and Associate Professionals,"Skilled Agricultural, Forestry and Fishery Workers",133.4,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,144.0,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Craft and Related Trades Workers,136.0,yes,no,no,yes,female,yes,19,no,7.6,2.6,0.32,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,144.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,125.8,no,no,no,yes,female,yes,19,no,12.7,3.7,-1.7,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,131.0,Master/Doctoral,Master/Doctoral,Professionals,Managers,120.5,no,no,no,yes,female,no,19,no,7.6,2.6,0.32,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,141.0,Primary/Early education,Primary/Early education,Elementary Occupations,Plant and Machine Operators and Assemblers,130.2,yes,no,no,yes,female,no,21,no,15.5,2.8,-4.06,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,138.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Technicians and Associate Professionals,135.9,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Elementary Occupations,116.5,no,no,no,yes,female,yes,19,no,11.1,0.6,2.02,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,124.0,Upper secondary/Post secondary,Primary/Early education,Other,Other,124.0,no,no,no,no,female,no,18,no,12.7,3.7,-1.7,Dropout
single,Other,1,Social sciences and education,evening,Tertiary education experience,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,140.0,no,no,no,yes,female,no,30,no,10.8,1.4,1.74,Dropout
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,157.0,Bachelor or equivalent,Bachelor or equivalent,Technicians and Associate Professionals,"Skilled Agricultural, Forestry and Fishery Workers",150.9,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Dropout
single,General application,3,Health sciences,daytime,Upper secondary education,129.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Plant and Machine Operators and Assemblers,127.3,yes,no,no,yes,female,yes,20,no,7.6,2.6,0.32,Graduate
single,Over 23,1,Business and management,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,100.0,no,no,yes,no,female,no,25,no,9.4,-0.8,-3.12,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,142.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,128.8,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
in union,General application,3,Health sciences,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,119.7,yes,no,no,yes,female,no,21,no,9.4,-0.8,-3.12,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,156.0,Master/Doctoral,Master/Doctoral,Professionals,Managers,140.8,no,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,151.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,138.0,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,135.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,132.9,yes,no,no,no,female,no,29,no,12.7,3.7,-1.7,Dropout
single,Other,1,Engineering and applied sciences,daytime,Upper secondary education,140.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,140.0,no,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Graduate
single,Other,1,Health sciences,daytime,Tertiary education experience,140.0,Bachelor or equivalent,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,140.0,no,no,no,yes,female,no,26,no,13.9,-0.3,0.79,Dropout
single,General application,2,Social sciences and education,daytime,Upper secondary education,100.0,Lower secondary education,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,99.3,yes,no,no,yes,female,no,21,no,12.4,0.5,1.79,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,126.0,Primary/Early education,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,119.3,no,no,no,yes,female,yes,19,no,9.4,-0.8,-3.12,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,123.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,113.2,yes,no,yes,yes,female,no,19,no,16.2,0.3,-0.92,Dropout
single,General application,1,Communication and design,daytime,Upper secondary education,133.1,Lower secondary education,Lower secondary education,Elementary Occupations,Service and Sales Workers,117.0,no,no,no,yes,female,no,21,no,15.5,2.8,-4.06,Enrolled
single,General application,1,Social sciences and education,evening,Upper secondary education,137.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Technicians and Associate Professionals,123.0,no,no,yes,yes,female,no,20,no,16.2,0.3,-0.92,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Primary/Early education,Primary/Early education,Elementary Occupations,Plant and Machine Operators and Assemblers,127.2,yes,no,no,yes,female,yes,18,no,15.5,2.8,-4.06,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,128.0,Unknown,Upper secondary/Post secondary,Technicians and Associate Professionals,Student,141.0,yes,no,no,no,female,no,20,no,7.6,2.6,0.32,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,136.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,121.7,no,yes,no,yes,female,yes,20,no,16.2,0.3,-0.92,Graduate
single,Other,1,Health sciences,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,121.1,no,no,no,yes,female,yes,18,no,16.2,0.3,-0.92,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Technicians and Associate Professionals,146.1,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,140.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,142.5,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Elementary Occupations,126.8,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Enrolled
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,150.0,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,150.0,yes,no,no,yes,female,no,22,no,13.9,-0.3,0.79,Graduate
single,Other,3,Health sciences,daytime,Post-secondary non-tertiary education,150.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Managers,150.0,yes,no,no,yes,female,no,19,no,12.7,3.7,-1.7,Enrolled
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,131.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Professionals,134.5,yes,no,no,yes,female,yes,19,no,12.4,0.5,1.79,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,136.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,129.5,yes,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,117.0,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Plant and Machine Operators and Assemblers,113.2,yes,no,yes,yes,female,no,20,no,11.1,0.6,2.02,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,158.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,140.2,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Dropout
single,General application,2,Business and management,daytime,Upper secondary education,129.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,119.2,yes,no,no,yes,female,no,21,no,8.9,1.4,3.51,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,140.7,no,no,no,yes,female,no,19,no,12.4,0.5,1.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,141.0,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,142.3,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Dropout
single,General application,>3,Communication and design,daytime,Upper secondary education,132.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Other,Clerical Support Workers,129.9,yes,no,no,yes,female,no,18,yes,7.6,2.6,0.32,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Upper secondary/Post secondary,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,134.8,yes,no,no,yes,female,no,18,no,12.4,0.5,1.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,109.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Elementary Occupations,104.1,yes,no,yes,no,female,yes,21,no,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Service and Sales Workers,122.4,no,no,yes,yes,female,no,19,no,13.9,-0.3,0.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,122.0,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,120.6,yes,no,no,yes,female,yes,19,no,9.4,-0.8,-3.12,Graduate
single,General application,3,Social sciences and education,daytime,Upper secondary education,118.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Other,112.4,yes,no,no,yes,female,no,19,no,16.2,0.3,-0.92,Dropout
single,General application,1,Communication and design,daytime,Upper secondary education,174.0,Master/Doctoral,Bachelor or equivalent,Technicians and Associate Professionals,Technicians and Associate Professionals,157.9,no,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,Other,1,Business and management,daytime,Upper secondary education,142.0,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,125.9,no,no,no,yes,female,yes,19,no,10.8,1.4,1.74,Dropout
