marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nacionality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target
single,General application,>3,Business and management,daytime,Upper secondary education,133.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",123.2,yes,no,no,yes,male,no,20,0,5,7,3,12.666666666666666,1,0,5,12,2,12.5,0,9.4,-0.8,-3.12,Enrolled
single,General application,2,Business and management,daytime,Upper secondary education,137.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Professionals,Plant and Machine Operators and Assemblers,122.3,yes,no,no,yes,male,yes,20,0,6,7,6,14.714285714285714,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,124.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,127.9,yes,no,no,yes,male,no,20,0,6,11,3,13.666666666666666,0,0,6,13,4,10.25,0,9.4,-0.8,-3.12,Enrolled
single,General application,2,Business and management,daytime,Upper secondary education,128.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",120.3,no,no,no,yes,male,no,19,0,5,9,5,10.8,0,0,5,13,2,13.5,0,8.9,1.4,3.51,Enrolled
single,Transfer and change,1,Social sciences and education,evening,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,128.5,no,no,yes,no,male,no,26,2,8,13,4,10.5,0,5,10,16,7,10.428571428571429,0,12.4,0.5,1.79,Dropout
in union,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Plant and Machine Operators and Assemblers,Craft and Related Trades Workers,150.0,no,no,no,yes,male,no,31,0,6,10,6,15.0,0,0,6,11,5,12.5,0,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,142.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,136.1,no,no,yes,yes,male,yes,19,0,6,6,6,12.666666666666666,0,0,6,6,6,14.0,0,16.2,0.3,-0.92,Graduate
single,Over 23,1,Communication and design,daytime,Upper secondary education,100.0,Portuguese,Primary/Early education,Primary/Early education,Student,Student,128.0,yes,no,no,yes,male,no,28,0,6,7,6,13.166666666666666,0,0,6,6,6,13.666666666666666,0,7.6,2.6,0.32,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,149.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Elementary Occupations,158.1,yes,no,no,yes,male,yes,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
in union,General application,2,Social sciences and education,evening,Upper secondary education,110.0,Portuguese,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Other,108.7,yes,no,no,yes,female,no,43,0,6,6,6,13.0,0,0,6,6,6,12.5,0,9.4,-0.8,-3.12,Graduate
single,Over 23,1,Communication and design,daytime,Upper secondary education,133.1,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,110.0,no,no,no,yes,male,yes,25,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Over 23,1,Social sciences and education,daytime,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,120.0,no,yes,yes,yes,female,no,40,0,6,13,2,10.0,0,0,6,10,1,15.0,0,16.2,0.3,-0.92,Dropout
single,Post-secondary qualification,1,Health sciences,daytime,Post-secondary non-tertiary education,150.0,Other nationalities,Master/Doctoral,Master/Doctoral,Managers,Managers,150.0,no,no,no,yes,female,no,20,2,6,7,6,13.333333333333334,0,1,6,16,5,13.375,0,12.4,0.5,1.79,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Managers,113.0,no,no,no,yes,female,no,46,0,6,13,3,12.333333333333334,0,0,6,6,6,13.333333333333334,0,11.1,0.6,2.02,Graduate
single,Transfer and change,1,Engineering and applied sciences,daytime,Upper secondary education,121.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,118.6,no,no,no,yes,female,no,26,14,21,23,20,13.181818181818182,0,10,14,18,14,11.642857142857142,0,8.9,1.4,3.51,Graduate
in union,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,148.8,no,no,no,yes,female,yes,34,0,7,7,6,12.513333333333334,0,0,8,9,7,13.071428571428571,0,12.4,0.5,1.79,Graduate
single,General application,3,Social sciences and education,daytime,Upper secondary education,122.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Service and Sales Workers,120.3,yes,no,no,yes,female,no,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,143.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,127.0,yes,no,no,yes,female,yes,18,0,8,8,7,13.585714285714284,0,0,8,8,7,13.585714285714284,0,12.7,3.7,-1.7,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,123.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Elementary Occupations,113.8,yes,no,no,yes,female,no,18,0,7,9,7,11.155555555555557,0,0,8,10,8,11.425,0,12.7,3.7,-1.7,Graduate
single,Over 23,1,Social sciences and education,evening,Upper secondary education,120.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,108.0,no,no,no,yes,male,yes,37,1,7,9,6,11.857142857142858,0,1,6,7,5,12.0,0,13.9,-0.3,0.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,114.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,129.1,no,no,no,yes,male,yes,23,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,114.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Craft and Related Trades Workers,135.9,no,no,no,yes,male,no,26,9,14,14,14,14.0,0,7,13,13,13,13.615384615384617,0,15.5,2.8,-4.06,Graduate
single,Ordinance/International,2,Communication and design,daytime,Upper secondary education,154.4,Other nationalities,Upper secondary/Post secondary,Lower secondary education,Technicians and Associate Professionals,Service and Sales Workers,154.4,yes,no,no,no,female,no,18,0,6,8,5,12.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Ordinance/International,1,Health sciences,daytime,Upper secondary education,190.0,Other nationalities,Bachelor or equivalent,Bachelor or equivalent,Professionals,Clerical Support Workers,190.0,yes,no,no,yes,female,no,18,0,7,15,4,11.575,0,0,7,10,5,12.419999999999998,0,12.4,0.5,1.79,Enrolled
single,General application,>3,Health sciences,daytime,Upper secondary education,136.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,132.5,yes,no,no,yes,female,no,19,0,7,8,7,13.198571428571428,0,0,8,8,8,13.0625,0,11.1,0.6,2.02,Graduate
single,Ordinance/International,2,Health sciences,daytime,Upper secondary education,163.3,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Elementary Occupations,163.3,no,no,no,yes,female,no,18,0,6,10,6,13.5,0,0,6,12,6,12.0,0,12.4,0.5,1.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,126.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Clerical Support Workers,Technicians and Associate Professionals,122.5,yes,no,no,yes,female,no,19,0,6,6,6,13.333333333333334,0,0,6,8,5,12.8,0,8.9,1.4,3.51,Dropout
single,General application,>3,Engineering and applied sciences,daytime,Upper secondary education,122.0,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,121.0,yes,no,no,yes,male,no,20,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,137.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Managers,Service and Sales Workers,131.8,no,no,no,yes,female,yes,22,0,6,7,6,12.166666666666666,0,0,6,9,4,12.0,0,9.4,-0.8,-3.12,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,139.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,135.0,yes,no,no,yes,female,yes,18,0,8,8,7,12.214285714285714,0,0,8,8,7,12.214285714285714,0,12.7,3.7,-1.7,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,142.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Clerical Support Workers,141.7,no,no,no,yes,female,yes,18,0,6,8,6,12.666666666666666,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,133.1,Portuguese,Lower secondary education,Lower secondary education,Service and Sales Workers,Service and Sales Workers,131.3,yes,no,no,yes,female,yes,18,0,6,7,6,12.285714285714286,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,126.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,123.9,yes,no,no,yes,female,yes,18,0,6,7,6,13.0,0,0,6,6,6,13.0,0,12.4,0.5,1.79,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,131.0,Portuguese,Master/Doctoral,Bachelor or equivalent,Craft and Related Trades Workers,Clerical Support Workers,126.1,yes,no,no,yes,female,no,18,0,6,8,6,12.142857142857142,0,0,6,6,6,11.166666666666666,0,8.9,1.4,3.51,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,131.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,126.5,yes,no,no,yes,female,yes,19,0,7,8,7,13.875714285714285,0,0,8,9,7,13.085714285714284,0,11.1,0.6,2.02,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,108.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,107.3,no,no,no,yes,female,no,20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General application,>3,Social sciences and education,daytime,Upper secondary education,133.1,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,95.0,yes,no,no,yes,female,yes,19,0,6,12,6,11.666666666666666,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,122.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,116.1,yes,no,no,yes,female,no,18,0,6,13,6,13.153846153846152,0,0,6,12,3,11.0,0,15.5,2.8,-4.06,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,143.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,134.6,yes,no,no,yes,female,yes,18,0,6,6,6,14.5,0,0,6,6,6,12.833333333333334,0,12.4,0.5,1.79,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,128.0,yes,no,no,yes,female,yes,18,0,7,7,7,14.44142857142857,0,0,8,8,8,13.65625,0,11.1,0.6,2.02,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,148.0,Portuguese,Bachelor or equivalent,Lower secondary education,Professionals,"Skilled Agricultural, Forestry and Fishery Workers",144.2,yes,no,no,yes,female,no,18,0,6,6,6,15.166666666666666,0,0,6,7,6,14.285714285714286,0,12.4,0.5,1.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,134.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Plant and Machine Operators and Assemblers,129.5,no,no,no,yes,female,yes,18,0,5,5,5,11.6,0,0,5,12,4,12.625,0,10.8,1.4,1.74,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,122.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,116.8,yes,no,yes,yes,female,no,18,0,6,6,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,16.2,0.3,-0.92,Graduate
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,160.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",160.0,no,no,no,yes,female,yes,20,0,6,8,6,12.625,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,126.0,Portuguese,Lower secondary education,Primary/Early education,Technicians and Associate Professionals,Service and Sales Workers,127.1,yes,no,no,yes,female,yes,19,0,6,14,3,12.666666666666666,0,0,6,7,6,11.0,0,9.4,-0.8,-3.12,Graduate
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,138.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,"Skilled Agricultural, Forestry and Fishery Workers",126.3,yes,no,no,yes,female,yes,18,0,6,7,6,12.833333333333334,1,0,6,8,6,13.0,0,8.9,1.4,3.51,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,115.0,Portuguese,Lower secondary education,Lower secondary education,Plant and Machine Operators and Assemblers,Craft and Related Trades Workers,112.9,yes,no,no,yes,female,yes,19,0,6,7,6,11.857142857142858,0,0,6,8,6,13.142857142857142,0,12.4,0.5,1.79,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,141.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Managers,Service and Sales Workers,130.2,yes,no,no,yes,female,no,19,0,6,8,5,11.4,1,0,6,7,4,10.75,0,12.7,3.7,-1.7,Enrolled
single,Transfer and change,1,Engineering and applied sciences,daytime,Upper secondary education,100.0,Other nationalities,Bachelor or equivalent,Master/Doctoral,Technicians and Associate Professionals,Professionals,100.0,no,no,no,yes,female,no,19,0,5,10,5,14.857142857142858,2,0,5,7,5,15.142857142857142,0,9.4,-0.8,-3.12,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,121.6,no,no,no,yes,female,no,19,0,6,7,6,14.714285714285714,0,0,6,6,6,15.833333333333334,0,12.4,0.5,1.79,Graduate
single,Ordinance/International,1,Business and management,daytime,Upper secondary education,130.0,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,130.0,no,yes,yes,yes,female,no,20,0,6,6,6,13.5,0,0,6,9,5,13.0,0,8.9,1.4,3.51,Graduate
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,135.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,121.7,yes,no,no,yes,female,yes,18,0,5,7,4,11.5,0,0,5,5,5,12.4,0,10.8,1.4,1.74,Graduate
single,Previous degree,1,Business and management,daytime,Tertiary education experience,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,120.0,no,no,no,yes,female,no,33,2,5,9,2,14.0,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,148.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,143.5,no,no,no,yes,female,yes,19,0,7,8,6,12.833333333333334,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,136.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,128.3,no,no,no,yes,female,yes,18,0,7,7,7,13.428571428571429,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,108.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Technicians and Associate Professionals,111.9,no,no,no,yes,female,no,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,140.0,Portuguese,Lower secondary education,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers",Technicians and Associate Professionals,140.0,no,no,no,yes,female,no,19,0,6,18,3,11.666666666666666,0,0,6,14,4,11.5,0,15.5,2.8,-4.06,Enrolled
single,General application,3,Communication and design,daytime,Upper secondary education,153.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Plant and Machine Operators and Assemblers,137.6,yes,no,no,yes,female,no,18,0,6,6,6,16.0,0,0,6,7,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,135.0,yes,no,no,yes,female,no,20,0,6,6,6,13.833333333333334,0,0,6,6,6,11.833333333333334,0,10.8,1.4,1.74,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,146.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,133.8,yes,no,no,yes,female,no,19,0,8,9,8,13.2325,1,0,8,9,8,13.2325,1,9.4,-0.8,-3.12,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,126.9,yes,no,no,yes,male,yes,18,0,6,6,6,14.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,113.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Service and Sales Workers,Technicians and Associate Professionals,106.7,yes,no,yes,yes,male,yes,19,0,6,14,2,10.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Transfer and change,1,Social sciences and education,evening,Upper secondary education,145.7,Other nationalities,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,145.7,yes,no,no,yes,female,no,25,8,16,16,15,13.333333333333334,0,11,13,13,11,12.272727272727272,0,13.9,-0.3,0.79,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,145.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Clerical Support Workers,Clerical Support Workers,153.1,yes,no,no,yes,female,yes,20,0,6,6,6,12.5,0,0,6,6,6,14.333333333333334,0,12.7,3.7,-1.7,Enrolled
single,General application,1,Social sciences and education,evening,Upper secondary education,126.0,Portuguese,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,118.7,no,no,no,yes,female,no,19,0,6,6,6,12.5,0,0,6,6,6,11.5,0,12.7,3.7,-1.7,Graduate
single,General application,1,Business and management,evening,Upper secondary education,160.0,Portuguese,Unknown,Unknown,Student,Student,161.8,yes,no,yes,yes,male,no,33,0,5,8,2,10.5,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,General application,>3,Engineering and applied sciences,daytime,Upper secondary education,134.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Craft and Related Trades Workers,124.9,yes,no,yes,yes,male,no,18,0,5,11,3,10.666666666666666,0,0,5,9,3,11.333333333333334,0,8.9,1.4,3.51,Enrolled
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,163.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Plant and Machine Operators and Assemblers,150.8,yes,no,no,yes,male,no,18,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled
single,Ordinance/International,1,Business and management,daytime,Upper secondary education,130.0,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Professionals,Technicians and Associate Professionals,130.0,no,no,no,yes,female,no,19,0,5,10,4,12.0,0,0,5,6,5,11.4,0,11.1,0.6,2.02,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,165.0,Portuguese,Bachelor or equivalent,Bachelor or equivalent,Professionals,Professionals,163.6,yes,no,no,yes,female,no,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Enrolled
single,Transfer and change,1,Business and management,daytime,Upper secondary education,142.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,115.0,no,no,no,yes,female,no,19,0,5,11,5,11.5,0,0,5,9,2,10.666666666666666,0,13.9,-0.3,0.79,Enrolled
single,General application,1,Communication and design,daytime,Upper secondary education,156.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Other,136.8,yes,no,no,yes,female,no,18,0,6,6,6,14.0,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Dropout
single,General application,>3,Social sciences and education,daytime,Upper secondary education,141.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,130.9,yes,no,no,yes,female,no,18,0,6,7,6,13.5,0,0,6,8,5,12.6,0,7.6,2.6,0.32,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,143.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,127.0,yes,no,no,yes,female,no,18,0,8,8,8,13.07375,0,0,8,8,8,13.07375,0,9.4,-0.8,-3.12,Graduate
in union,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Portuguese,Lower secondary education,Lower secondary education,Professionals,Other,120.0,no,no,no,yes,female,no,37,0,7,9,2,10.75,0,0,7,9,0,0.0,0,16.2,0.3,-0.92,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,133.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Professionals,Clerical Support Workers,126.0,no,no,no,yes,female,no,20,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,172.0,Other nationalities,Primary/Early education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,153.8,yes,no,no,yes,female,yes,20,0,6,6,6,14.0,0,0,6,6,6,13.333333333333334,0,10.8,1.4,1.74,Graduate
single,Ordinance/International,1,Social sciences and education,daytime,Upper secondary education,140.0,Other nationalities,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",140.0,no,no,no,yes,male,no,21,0,6,7,6,12.333333333333334,0,0,6,7,6,13.428571428571429,0,11.1,0.6,2.02,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,142.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,Clerical Support Workers,136.6,no,no,no,yes,female,yes,18,0,7,7,7,13.464285714285714,0,0,8,9,8,14.788888888888888,0,12.4,0.5,1.79,Graduate
single,Over 23,1,Social sciences and education,evening,Upper secondary education,140.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,105.0,no,no,no,yes,female,no,26,0,6,14,3,10.666666666666666,1,0,6,9,5,11.2,0,15.5,2.8,-4.06,Enrolled
single,Over 23,1,Business and management,daytime,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,139.4,no,no,yes,yes,female,no,41,0,5,6,5,11.6,0,0,5,8,5,12.2,0,7.6,2.6,0.32,Enrolled
single,General application,2,Communication and design,daytime,Upper secondary education,148.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Elementary Occupations,140.0,yes,no,no,yes,female,yes,18,0,6,6,6,13.666666666666666,0,0,6,6,6,14.666666666666666,0,16.2,0.3,-0.92,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,137.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,130.8,no,no,yes,yes,female,no,18,0,8,9,8,14.4025,1,0,8,9,8,14.4025,1,9.4,-0.8,-3.12,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,143.0,Portuguese,Lower secondary education,Lower secondary education,Elementary Occupations,Elementary Occupations,138.8,yes,no,no,yes,female,no,31,0,7,9,7,15.46875,0,0,8,8,8,16.3875,0,11.1,0.6,2.02,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,133.1,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Other,110.0,no,no,yes,yes,female,no,23,0,6,8,6,12.625,0,0,6,6,6,14.166666666666666,0,12.7,3.7,-1.7,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Portuguese,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,127.8,yes,no,no,yes,female,no,19,0,7,7,6,14.983333333333334,0,0,7,7,6,14.983333333333334,0,7.6,2.6,0.32,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,138.0,Portuguese,Primary/Early education,Lower secondary education,Clerical Support Workers,Elementary Occupations,134.2,yes,no,no,yes,female,yes,20,0,6,6,6,15.0,0,0,6,6,6,13.0,0,11.1,0.6,2.02,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,150.0,Portuguese,Primary/Early education,Primary/Early education,Craft and Related Trades Workers,Service and Sales Workers,143.0,no,no,no,yes,female,no,40,5,9,9,9,15.88888888888889,0,3,7,7,7,14.142857142857142,0,12.7,3.7,-1.7,Graduate
single,Post-secondary qualification,1,Health sciences,daytime,Post-secondary non-tertiary education,120.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,120.0,yes,no,yes,yes,female,no,32,0,6,14,4,11.5,0,0,6,14,3,11.0,0,16.2,0.3,-0.92,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,110.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,113.2,yes,no,no,yes,female,no,24,0,6,14,2,10.5,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,146.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Plant and Machine Operators and Assemblers,135.8,yes,no,no,yes,female,no,18,0,7,7,6,13.983333333333334,0,0,7,7,6,13.983333333333334,0,7.6,2.6,0.32,Graduate
